id;managemeetid;course;id;name;shortname;fullname;name;record;new_url;fechacread
110122;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 5 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=c2b5a8c39b7ff16cd3429b5ef7f6307a;;20/01/23 0:00
110123;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 6 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=abe0ef051b0f41413b8e1c91a96d2714;;20/01/23 0:00
110124;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 7 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=8871ac6a839c15bd5b3637f1216976ab;;20/01/23 0:00
110189;4338;6983;216;Ley de emprendimiento;53713950;Excel tablas dinámicas para tu labor;Clase 1 - 53713950;https://comfama.webex.com/comfama/ldr.php?RCID=a9343f9a73f50b33d3edd9e70bc9cd47;;23/01/23 0:00
110190;4338;6983;216;Ley de emprendimiento;53713950;Excel tablas dinámicas para tu labor;Clase 2 - 53713950;https://comfama.webex.com/comfama/ldr.php?RCID=4e3928e698d1b98e6e4b63edad34b06d;;23/01/23 0:00
110191;4338;6983;216;Ley de emprendimiento;53713950;Excel tablas dinámicas para tu labor;Clase 3 - 53713950;https://comfama.webex.com/comfama/ldr.php?RCID=62c3765c6ee775d95c9192262923d031;;23/01/23 0:00
110192;4338;6983;216;Ley de emprendimiento;53713950;Excel tablas dinámicas para tu labor;Clase 4 - 53713950;https://comfama.webex.com/comfama/ldr.php?RCID=9b837298c4b67ad91a7db7e6ba542b24;;23/01/23 0:00
113315;4324;6980;216;Ley de emprendimiento;53713961;Excel tablas dinámicas para tu labor;Clase 1 - 53713961;https://comfama.webex.com/comfama/ldr.php?RCID=5a8d89d01aca4dcba5c0d570b2b403de;;27/03/23 0:00
113316;4324;6980;216;Ley de emprendimiento;53713961;Excel tablas dinámicas para tu labor;Clase 2 - 53713961;https://comfama.webex.com/comfama/ldr.php?RCID=92b896809aeb7507dadb5ba6129481c3;;27/03/23 0:00
113317;4324;6980;216;Ley de emprendimiento;53713961;Excel tablas dinámicas para tu labor;Clase 3 - 53713961;https://comfama.webex.com/comfama/ldr.php?RCID=14e668ba402771a9e177f4526f701bd6;;27/03/23 0:00
113318;4324;6980;216;Ley de emprendimiento;53713961;Excel tablas dinámicas para tu labor;Clase 4 - 53713961;https://comfama.webex.com/comfama/ldr.php?RCID=9bc33569b36c330af3eb43188218ec99;;27/03/23 0:00
113319;4324;6980;216;Ley de emprendimiento;53713961;Excel tablas dinámicas para tu labor;Clase 1 Reposición - 53713961 ;https://comfama.webex.com/comfama/ldr.php?RCID=4668bcf800c67cfac44173f9dc6e64ba;;27/03/23 0:00
110151;4327;6981;216;Ley de emprendimiento;53715108;Finanzas personales;Clase 1 - 53715108;https://comfama.webex.com/comfama/ldr.php?RCID=13b16cc34d91fac98f7dce9551686b7f;;20/01/23 0:00
